LHC22o	8210	526383
		526391
	8212	526432
	8214	526463
		526465
		526466
		526467
		526468
	8216	526486
	8220	526505
		526508
		526510
		526512
	8221	526525
		526526
		526528
		526529
		526530
		526532
		526533
		526534
	8222	526559
	8223	526596
		526606
		526612
	8225	526638
		526639
		526641
		526643
		526647
		526649
	8226	526689
	8228	526712
		526713
		526714
		526715
		526716
		526719
		526720
	8230	526776
	8233	526802
		526806
	8236	526860
		526865
		526886
	8238	526926
		526927
		526928
		526929
		526934
		526935
		526937
		526938
	8245	526963
		526964
		526966
		526967
		526968
	8247	527015
		527016
		527028
		527031
		527033
		527034
		527038
		527039
		527041
	8248	527057
		527076
	8253	527108
		527109
	8260	527228
		527237
		527239
		527240
	8263	527259
		527260
		527261
		527262
	8267	527345
		527347
		527349
	8274	527446
	8276	527518
		527522
		527523
	8293	527671
	8295	527690
		527694
	8297	527731
		527734
		527736
	8299	527777
	8301	527799
	8302	527821
		527825
		527826
		527828
	8304	527848
		527850
		527852
	8305	527863
		527864
		527865
		527869
		527871
	8306	527895
		527897
		527898
		527899
		527902
	8307	527940
		527944
	8309	527963
		527965
		527966
		527967
	8311	527976
		527978
		527979
	8313	528021
		528026
	8314	528036
	8315	528093
		528094
		528097
		528105
		528107
		528109
		528110
	8317	528231
		528232
		528233
	8319	528263
		528266
	8320	528290
		528292
		528294
	8321	528316
		528319
		528328
		528329
		528330
		528332
		528336
	8322	528347
	8324	528359
	8327	528379
		528381
		528386
	8330	528448
		528451
	8331	528461
		528463
		528471
		528487
	8333	528507
		528509
		528513
		528514
		528523
		528524
		528528
		528529
		528530
		528531
		528534
		528537
		528543

